time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
4.262755180425843449e-01,-6.928896469788124561e-03,6.576975695901736696e-01,3.726885276833180605e+00,-1.836275073232638988e+01,7.033971195627692907e-01,-9.837562470834668726e-01,-2.447606038452775934e+01,2.752244203785214793e+01,2.845033233726531607e-01
4.272761647985528488e-01,-6.267273504360858054e-03,6.614176460087101139e-01,3.708432735769580990e+00,-1.851847823990850728e+01,7.023872555828277742e-01,-1.008234148600603897e+00,-2.444789091379089641e+01,2.878008544018372206e+01,2.842209818858362214e-01
4.282768115545213528e-01,-5.602020676059723918e-03,6.651191799873880095e-01,3.689824366480705109e+00,-1.867420574749062823e+01,7.013535853542243181e-01,-1.032683232792878547e+00,-2.441846298626332867e+01,3.003772884251528907e+01,2.839386403990193375e-01
4.292774583104898567e-01,-4.933159097385462870e-03,6.688020155971989844e-01,3.671060168966551185e+00,-1.882993325507274918e+01,7.002961583716857952e-01,-1.057102240389585113e+00,-2.438777660194504904e+01,3.129537224484686320e+01,2.836562989122024536e-01
4.302781050664583606e-01,-4.260709880838800014e-03,6.724659969091349998e-01,3.652140143227120994e+00,-1.898566076265487013e+01,6.992150241299394109e-01,-1.081489912120018548e+00,-2.435583176083606105e+01,3.255301564717844087e+01,2.833739574253855698e-01
4.312787518224268646e-01,-3.584694138920473463e-03,6.761109679941881279e-01,3.633064289262413205e+00,-1.914138827023698752e+01,6.981102321237123709e-01,-1.105844988713473809e+00,-2.432262846293636827e+01,3.381065904951000789e+01,2.830916159385686859e-01
4.322793985783953685e-01,-2.905132984131217431e-03,6.797367729233499967e-01,3.613832607072428260e+00,-1.929711577781910847e+01,6.969818318477315477e-01,-1.130166210899245849e+00,-2.428816670824596002e+01,3.506830245184157491e+01,2.828092744517517465e-01
4.332800453343638725e-01,-2.222047528971770464e-03,6.833432557676124564e-01,3.594445096657166605e+00,-1.945284328540122942e+01,6.958298727967239250e-01,-1.154452319406629179e+00,-2.425244649676485054e+01,3.632594585417314192e+01,2.825269329649348626e-01
4.342806920903324319e-01,-1.535458885942822104e-03,6.869302605979678011e-01,3.574901758016626463e+00,-1.960857079298335748e+01,6.946544044654165972e-01,-1.178702054964920531e+00,-2.421546782849302915e+01,3.758358925650478000e+01,2.822445914781179788e-01
4.352813388463009359e-01,-8.453881675451831081e-04,6.904976314854075481e-01,3.555202591150810498e+00,-1.976429830056547843e+01,6.934554763485366591e-01,-1.202914158303411529e+00,-2.417723070343050296e+01,3.884123265883636122e+01,2.819622499913010949e-01
4.362819856022694398e-01,-1.518564862795521251e-04,6.940452125009235473e-01,3.535347596059717379e+00,-1.992002580814759938e+01,6.922331379408112051e-01,-1.227087370151398460e+00,-2.413773512157726486e+01,4.009887606116792824e+01,2.816799085044841555e-01
4.372826323582379437e-01,5.451150453533367421e-04,6.975728477155078711e-01,3.515336772743347105e+00,-2.007575331572972033e+01,6.909874387369672188e-01,-1.251220431238176278e+00,-2.409698108293331842e+01,4.135651946349949526e+01,2.813975670176672716e-01
4.382832791142064477e-01,1.245505314852747222e-03,7.010803812001524804e-01,3.495170121201699676e+00,-2.023148082331184128e+01,6.897184282317317949e-01,-1.275312082293039939e+00,-2.405496858749866362e+01,4.261416286583107649e+01,2.811152255308503878e-01
4.392839258701749516e-01,1.949293209717949116e-03,7.045676570258490035e-01,3.474847641434775092e+00,-2.038720833089395867e+01,6.884261559198318059e-01,-1.299361064045284175e+00,-2.401169763527330403e+01,4.387180626816264351e+01,2.808328840440335039e-01
4.402845726261434556e-01,2.656457617448208536e-03,7.080345192635894014e-01,3.454369333442573353e+00,-2.054293583847607962e+01,6.871106712959945684e-01,-1.323366117224203720e+00,-2.396716822625723253e+01,4.512944967049421052e+01,2.805505425572166200e-01
4.412852193821119595e-01,3.366977425542785202e-03,7.114808119843656353e-01,3.433735197225094904e+00,-2.069866334605819702e+01,6.857720238549469549e-01,-1.347325982559093749e+00,-2.392138036045045624e+01,4.638709307282579175e+01,2.802682010703996807e-01
4.422858661380804635e-01,4.080831521500952706e-03,7.149063792591696664e-01,3.412945232782338856e+00,-2.085439085364031797e+01,6.844102630914161711e-01,-1.371239400779248774e+00,-2.387433403785297159e+01,4.764473647515735877e+01,2.799858595835827968e-01
4.432865128940489674e-01,4.797998792821971635e-03,7.183110651589932338e-01,3.391999440114305653e+00,-2.101011836122243892e+01,6.830254385001289785e-01,-1.395105112613963971e+00,-2.382602925846477504e+01,4.890237987748892579e+01,2.797035180967659129e-01
4.442871596500174713e-01,5.518458127005109078e-03,7.216947137548284097e-01,3.370897819220995739e+00,-2.116584586880455987e+01,6.816175995758126938e-01,-1.418921858792534074e+00,-2.377646602228587369e+01,5.016002327982049280e+01,2.794211766099490291e-01
4.452878064059859753e-01,6.242188411549628654e-03,7.250571691176669331e-01,3.349640370102408227e+00,-2.132157337638668082e+01,6.801867958131941894e-01,-1.442688380044253815e+00,-2.372564432931626044e+01,5.141766668215207403e+01,2.791388351231321452e-01
