time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
5.513563625386478373e-01,9.845648466556729261e-02,1.002896205579218103e+00,3.281318669149359213e+00,1.571357654119991487e+01,4.036293084259672814e-01,-3.787081191424601645e+00,-2.688948868561676875e+01,-1.140905863232299282e+02,1.338101845587297278e-01,9.824579893592859381e-02,1.008306864060893204e+00,4.026968994303455340e-01,-3.823584725903563797e+00,1.324777080058028300e-01
5.523570092946162857e-01,9.947205741206660567e-02,1.006187025525381529e+00,3.295579685086969413e+00,1.478893744811366950e+01,3.997811436858704215e-01,-3.814042988129669798e+00,-2.699705125955546592e+01,-1.100721131840361977e+02,1.309206984746507929e-01,9.925631714899056657e-02,1.011407291542297582e+00,3.988576523833928245e-01,-3.849859112909666869e+00,1.308992882537785007e-01
5.533576560505848452e-01,1.004904681262605570e-01,1.009491656742685928e+00,3.308927304942194336e+00,1.386517366236365945e+01,3.959079556011934620e-01,-3.841110421490036675e+00,-2.710064178268430979e+01,-1.060558506542758153e+02,1.280312123905715527e-01,1.002699292813117593e-01,1.014492215437853284e+00,3.949921496098979246e-01,-3.876078598465606984e+00,1.292816189538895932e-01
5.543583028065532936e-01,1.015117140964086617e-01,1.012809185391491118e+00,3.321361532054828203e+00,1.294226572157563737e+01,3.920097103636552838e-01,-3.868279517257431355e+00,-2.720026026274090825e+01,-1.020417531882491460e+02,1.251417263064926455e-01,1.012866201474305339e-01,1.017561950211692601e+00,3.911004431947046611e-01,-3.902245147955011095e+00,1.276252762485969861e-01
5.553589495625218531e-01,1.025357926107707540e-01,1.016138697632156473e+00,3.332882369477022433e+00,1.202019588074687384e+01,3.880863741649739351e-01,-3.895546301183593574e+00,-2.729590670703349531e+01,-9.802977782722480526e+01,1.222522402224134053e-01,1.023063750828198393e-01,1.020616871046060803e+00,3.871825812108323217e-01,-3.928361032334907854e+00,1.259284245187853313e-01
5.563595963184904125e-01,1.035627009576064739e-01,1.019479279625041812e+00,3.343489819987358835e+00,1.109894800189657182e+01,3.841379131968679084e-01,-3.922906799020259072e+00,-2.738758112245400511e+01,-9.401988400485359421e+01,1.193627541383341234e-01,1.033291798037230952e-01,1.023657411273354745e+00,3.832386095464089815e-01,-3.954428819925737137e+00,1.241896621374438264e-01
5.573602430744588609e-01,1.045924364251753225e-01,1.022830017530506508e+00,3.353183886101561484e+00,1.017850750223649392e+01,3.801642936510559179e-01,-3.950357036519157816e+00,-2.747528351549762959e+01,-9.001203357561777807e+01,1.164732680542552440e-01,1.043550204519207991e-01,1.026684049320611747e+00,3.792685716654873307e-01,-3.980451311177812368e+00,1.224079792526647642e-01
5.583608898304274204e-01,1.056249963017373561e-01,1.026189997508911045e+00,3.361964570084063908e+00,9.258861278585397869e+00,3.761654817192550126e-01,-3.977893039432034428e+00,-2.755901389227548748e+01,-8.600619054251255591e+01,1.135837819701756568e-01,1.053838836299600540e-01,1.029697290475338090e+00,3.752725084166305680e-01,-4.006431447431780590e+00,1.205827053204144850e-01
5.593615365863958688e-01,1.066603778755517012e-01,1.029558305720613243e+00,3.369831873959153512e+00,8.339997673710458415e+00,3.721414435931858500e-01,-4.005510833510609103e+00,-2.763877225853941511e+01,-8.200232123947721163e+01,1.106942958860970411e-01,1.064157555689398266e-01,1.032697669253460182e+00,3.712504675581931313e-01,-4.032372347825766923e+00,1.187038536882266543e-01
5.603621833423644283e-01,1.076985784348785669e-01,1.032934028325975140e+00,3.376785799517538322e+00,7.421906384329209239e+00,3.680921454645644242e-01,-4.033206444506634014e+00,-2.771455861968794920e+01,-7.800039390702107767e+01,1.078048098020178008e-01,1.074506229485271414e-01,1.035685730228359969e+00,3.672024949612340827e-01,-4.058277191260509120e+00,1.167796611935106310e-01
5.613628300983328767e-01,1.087395952679772737e-01,1.036316251485354334e+00,3.382826348324799337e+00,6.504578473698859220e+00,3.640175535251105043e-01,-4.060975898171834686e+00,-2.778637298077154227e+01,-7.400037891670373824e+01,1.049153237179388798e-01,1.084885192205944926e-01,1.038661764289298128e+00,3.631282305032523250e-01,-4.084148283962804271e+00,1.148109538192467194e-01
5.623634768543014362e-01,1.097834256631077948e-01,1.039704061359112419e+00,3.387953521728308104e+00,5.588006279673391141e+00,3.599176339665414726e-01,-4.088815220257951744e+00,-2.785421534652129338e+01,-7.000224855524693623e+01,1.020258376338596396e-01,1.095292659769960403e-01,1.041627418075834255e+00,3.590291408400140827e-01,-4.109992745509732259e+00,1.128052908224830148e-01
5.633641236102698846e-01,1.108300669085295620e-01,1.043096544107607659e+00,3.392167320861391833e+00,4.672183423960010629e+00,3.557923529805767093e-01,-4.116720436516716042e+00,-2.791808572134833000e+01,-6.600597696421299077e+01,9.913635154978071851e-02,1.105730983450061711e-01,1.044581480268188756e+00,3.549031325787249114e-01,-4.135807214330286641e+00,1.107436568593537091e-01
5.643647703662384441e-01,1.118795162925024372e-01,1.046492785891200317e+00,3.395467746650084884e+00,3.757104765765215237e+00,3.516416767589334857e-01,-4.144687572699867317e+00,-2.797798410935750724e+01,-6.201154014685445048e+01,9.624686546570147827e-02,1.116198176261400943e-01,1.047525322615046051e+00,3.507518701601615718e-01,-4.161597362870638861e+00,1.086409374602101269e-01
5.653654171222068925e-01,1.129317711032859217e-01,1.049891872870249543e+00,3.397854799815567262e+00,2.842766385544739816e+00,3.474655714933310713e-01,-4.172712654559136425e+00,-2.803391051435580295e+01,-5.801891582506694789e+01,9.335737938162255722e-02,1.126694946279122311e-01,1.050459219293379265e+00,3.465746629723698846e-01,-4.187365741253000095e+00,1.064965471856412355e-01
5.663660638781754519e-01,1.139868286291399052e-01,1.053292891205116044e+00,3.399328480876655068e+00,1.929165564431703617e+00,3.432640033754869036e-01,-4.200791707846262213e+00,-2.808586493986221555e+01,-5.402808348873529809e+01,9.046789329754333087e-02,1.137221027812059110e-01,1.053383606306740328e+00,3.423716790391163611e-01,-4.213114857956361092e+00,1.043115562836434002e-01
5.673667106341439004e-01,1.150446861583238334e-01,1.056694927056158084e+00,3.399888790153233309e+00,1.016300788733521587e+00,3.390369385971204741e-01,-4.228920758312976425e+00,-2.813384738911646821e+01,-5.003902426187620023e+01,8.757840721346438206e-02,1.147776329810212687e-01,1.056298849355644220e+00,3.381429337474536889e-01,-4.238847033038839029e+00,1.020871016941582304e-01
5.683673573901124598e-01,1.161053409790975960e-01,1.060097066583736813e+00,3.399535727766992643e+00,1.041717225646122263e-01,3.347843433499489429e-01,-4.257095831711022349e+00,-2.817785786508043344e+01,-4.605172090893103132e+01,8.468892112938514183e-02,1.158360764368106671e-01,1.059205272455296720e+00,3.338884405934811617e-01,-4.264564391581380676e+00,9.982323924946820415e-02
5.693680041460810193e-01,1.171687903797209718e-01,1.063498395948211606e+00,3.398269293640475475e+00,-8.072207847542073322e-01,3.305061838256905804e-01,-4.285312953792131729e+00,-2.821789637044593135e+01,-4.206615775528886303e+01,8.179943504530558240e-02,1.168974237407242461e-01,1.062103165494683754e+00,3.296082221044225880e-01,-4.290268934539883006e+00,9.751498000841875291e-02
5.703686509020494677e-01,1.182350316484530456e-01,1.066898001309940280e+00,3.396089487499799553e+00,-1.717874675968102727e+00,3.262024262160658217e-01,-4.313568150308028315e+00,-2.825396290765277385e+01,-3.808232078859970926e+01,7.890994896122696667e-02,1.179616661675001593e-01,1.064992766665650681e+00,3.253022940118423523e-01,-4.315962407679633017e+00,9.517033835533778019e-02
5.713692976580180272e-01,1.193040620735541235e-01,1.070294968829284876e+00,3.392996308871491618e+00,-2.627786719977964758e+00,3.218730367127904946e-01,-4.341857447010464277e+00,-2.828605747888153132e+01,-3.410019737490471670e+01,7.602046287714771255e-02,1.190287957580085237e-01,1.067874262519612483e+00,3.209706637503620952e-01,-4.341646295816594225e+00,9.279039943723674244e-02
5.723699444139864756e-01,1.203758789432835541e-01,1.073688384666603657e+00,3.388989757079911236e+00,-3.536952456337743467e+00,3.175179815075845347e-01,-4.370176869651165141e+00,-2.831418008605489334e+01,-3.011977649168538207e+01,7.313097679306883314e-02,1.200988047045728480e-01,1.070747800890310408e+00,3.166133375166254038e-01,-4.367321907062302166e+00,9.037622399469560919e-02
5.733705911699550350e-01,1.214504795459012548e-01,1.077077334982257106e+00,3.384069831246610427e+00,-4.445366200783134047e+00,3.131372267921652131e-01,-4.398522443981873309e+00,-2.833833073085396848e+01,-2.614104854843240133e+01,7.024149070898955127e-02,1.211716853200757171e-01,1.073613496091631703e+00,3.122303204037490953e-01,-4.392990398870246338e+00,8.792884302057725476e-02
5.743712379259234835e-01,1.225278611696666853e-01,1.080460905936604377e+00,3.378236530285035233e+00,-5.353021018966954259e+00,3.087307387582518547e-01,-4.426890195754317858e+00,-2.835850941471265330e+01,-2.216400540551327580e+01,6.735200462491064410e-02,1.222474300073521647e-01,1.076471429474962216e+00,3.078216165345719624e-01,-4.418652781387280903e+00,8.544923890277422718e-02
5.753718846818920429e-01,1.236080211028396797e-01,1.083838183690005508e+00,3.371489852897032513e+00,-6.259908687247579984e+00,3.042984835975617863e-01,-4.455276150720237638e+00,-2.837471613882716426e+01,-1.818864039763617413e+01,6.446251854083140387e-02,1.233260310444820873e-01,1.079321640120659564e+00,3.033872313788743003e-01,-4.444309879987315526e+00,8.293489126971756442e-02
5.763725314378604914e-01,1.246909566336797531e-01,1.087208254402819874e+00,3.363829797566931123e+00,-7.166019677099426666e+00,2.998404275018143883e-01,-4.483676334631364391e+00,-2.838695090415633260e+01,-1.421494825291169306e+01,6.157303245675246894e-02,1.244074798581170371e-01,1.082164126937349868e+00,2.989271800140358981e-01,-4.469962378334107811e+00,8.038621550179286812e-02
5.773731781938290508e-01,1.257766650504468231e-01,1.090570204235407292e+00,3.355256362555570249e+00,-8.071343093153549475e+00,2.953565366627269873e-01,-4.512086773239441406e+00,-2.839521371141697870e+01,-1.024292509645210814e+01,5.868354637267322177e-02,1.254917687525863301e-01,1.084998853586266687e+00,2.944414661388517485e-01,-4.495610768889373610e+00,7.780721608168562897e-02
5.783738249497974993e-01,1.268651436414003075e-01,1.093923119348127138e+00,3.345769545893210850e+00,-8.975866647314372671e+00,2.908467772720189637e-01,-4.540503492296193322e+00,-2.839950456109603039e+01,-6.272568527805478134e+00,5.579406028859428684e-02,1.265788901435976332e-01,1.087825750107495271e+00,2.899300910913667484e-01,-4.521255389758781718e+00,7.519849927782532029e-02
5.793744717057660587e-01,1.279563896948000823e-01,1.097266085901339894e+00,3.335369345370173377e+00,-9.879576594868455075e+00,2.863111155214075332e-01,-4.568922517553366092e+00,-2.839982345344673575e+01,-2.303877466359892878e+00,5.290457420451504661e-02,1.276688363643963264e-01,1.090644724915499131e+00,2.853930559984090842e-01,-4.546896490792532219e+00,7.256063539107655835e-02
5.803751184617345071e-01,1.290504004989056763e-01,1.100598190055404269e+00,3.324055758528140725e+00,-1.078245767977861291e+01,2.817495176026121873e-01,-4.597339874762687018e+00,-2.839617038848514952e+01,1.663147722736596723e+00,5.001508812043615332e-02,1.287615996459541556e-01,1.093455666538079463e+00,2.808303618535135660e-01,-4.572534242500175594e+00,6.989414382381942126e-02
5.813757652177030666e-01,1.301471733419770072e-01,1.103918517970680302e+00,3.311828782650352299e+00,-1.168449305670510263e+01,2.771619497073501415e-01,-4.625751589675896724e+00,-2.838854536599859557e+01,5.628505276808204449e+00,4.712560203635690614e-02,1.298571720979337651e-01,1.096258440436663983e+00,2.762420095910657070e-01,-4.598168720698192047e+00,6.719946930725465006e-02
