shoulder_des_pos,shoulder_des_vel,shoulder_des_acc,shoulder_des_jerk,shoulder_des_tau,elbow_des_pos,elbow_des_vel,elbow_des_acc,elbow_des_jerk,elbow_des_tau,elbow_des_tau_tvlqr,des_time,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_tau,meas_time,k1,k2,k3,k4,k0
1.593953539543235820e-02,3.193168605213486444e+00,-1.119712277324067251e-01,8.591121064704128685e+01,0.000000000000000000e+00,8.726640733168551378e-01,3.362568887223460479e-01,6.251164887122757641e+00,-2.953549845232603275e+02,1.738343533491435999e-01,1.703455739733641394e-01,1.950789006785295654e-01,-8.246938835239750465e-02,3.314663045619960169e+00,6.811354067208461593e-01,-1.696953138852500320e+00,3.173470795154571533e-01,2.688402652740478516e+00,-1.401365615969988321e-01,-9.301131962964882816e-02,-2.027560271135764314e-02,9.096702201591038150e-01,8.991197219275655610e-04
6.949940184904335183e-02,3.329388845922096607e+00,-5.347199458120948518e-02,1.100139277184262738e+02,0.000000000000000000e+00,8.699543419106703368e-01,-7.052264355043007527e-01,5.973957982131733679e+00,-2.969807100439142573e+02,1.808593115512687199e-01,1.787649801405599703e-01,1.960793052973937578e-01,-2.558317771140242169e-02,3.533688895486264414e+00,6.506155650240785793e-01,-1.941083409892490730e+00,2.464973032474517822e-01,2.704843282699584961e+00,-1.401041165950647482e-01,-9.258816214988438431e-02,-2.053149337944329758e-02,9.095995382687660502e-01,7.832474072405913373e-04
1.252887299854137382e-01,3.417685459968481609e+00,-6.633582572135310329e-15,1.198366372621784848e+02,0.000000000000000000e+00,8.494032346211497497e-01,-1.688605426421418088e+00,5.696030422780360425e+00,-2.986973042669862366e+02,1.883961931749646990e-01,1.838990740934356438e-01,1.970797099162580335e-01,3.256483981174870812e-02,3.335732419879905208e+00,6.159252598736253415e-01,-2.137898088470992164e+00,1.822972297668457031e-01,2.721353054046630859e+00,-1.400827272749597119e-01,-9.215023627621868330e-02,-2.078703242164491732e-02,9.095287709005768217e-01,6.703243012095037650e-04
1.866313602527043258e-01,3.468264890114880927e+00,2.578473334595246871e-02,8.187042196806677552e+00,0.000000000000000000e+00,8.092351892355509335e-01,-2.667333322384365601e+00,5.417379706417836616e+00,-3.005189064027682093e+02,1.965787848453832698e-01,1.921220862618362446e-01,1.980801145351222814e-01,9.770872906609026631e-02,3.424801160102576070e+00,5.684357557108729031e-01,-2.745380695965686346e+00,-3.711994364857673645e-02,2.739128589630126953e+00,-1.400752058123493626e-01,-9.169555701304930861e-02,-2.104368996125122529e-02,9.094597566554467605e-01,5.610671646698760966e-04
2.528828973411236802e-01,3.469488085693058110e+00,8.899138392892563809e-02,9.346755565246274955e+01,0.000000000000000000e+00,7.484211537578175921e-01,-3.592604754150670487e+00,5.138002773858688421e+00,-2.554372076000319964e+02,2.053519479737602182e-01,2.030799947501513714e-01,1.990805191539865293e-01,1.649781946771320118e-01,4.194917743141688860e+00,5.073002453314734428e-01,-4.217724368120909340e+00,-6.760744452476501465e-01,2.758187055587768555e+00,-1.400793485419588313e-01,-9.122565649101772867e-02,-2.130032362806399959e-02,9.093911494313151600e-01,4.563242479894495901e-04
3.108127693501501199e-01,3.423594032977746338e+00,1.455934261434196908e-01,1.969074279432755858e+01,0.000000000000000000e+00,6.822411518180615531e-01,-4.273886828836111818e+00,4.857895845580092242e+00,-3.045500675419017398e+02,2.130812710238541019e-01,2.145703055888219524e-01,2.000809237728508050e-01,2.272684763408034103e-01,3.872955736200346166e+00,4.339887156348531394e-01,-5.020762187057957071e+00,-7.432429790496826172e-01,2.774977922439575195e+00,-1.400929835809538448e-01,-9.074204874523884856e-02,-2.155580663160908128e-02,9.093216188600077299e-01,3.569901245184288344e-04
3.673996588267982588e-01,3.332605223818120521e+00,2.009063128187002500e-01,3.021062668908637150e+01,0.000000000000000000e+00,6.068729050650745194e-01,-4.803270983597030863e+00,4.577054196438889555e+00,-3.068073033350445371e+02,2.207652866069729214e-01,2.237331724418467616e-01,2.010813283917150529e-01,2.786845122985674994e-01,3.247384539107669443e+00,3.553082999940116449e-01,-4.979755914502109526e+00,2.432340197265148163e-02,2.791724205017089844e+00,-1.401182611545257473e-01,-9.024331088299543391e-02,-2.181123245442568789e-02,9.092524657452174530e-01,2.650081237129048913e-04
4.220256876337771246e-01,3.194984881389245857e+00,2.558114465692960526e-01,3.580524814582477688e+01,0.000000000000000000e+00,5.245053622065825039e-01,-5.157835812799021369e+00,4.295471840197715885e+00,-3.092678406365794217e+02,2.289310971142306528e-01,2.303833562887724895e-01,2.020817330105792731e-01,3.356210604420512000e-01,3.171800182432397364e+00,2.682708770502717499e-01,-5.048519149966876007e+00,8.604621291160583496e-01,2.808463335037231445e+00,-1.401556958676135611e-01,-8.972911154666755873e-02,-2.206687578757840842e-02,9.091840415413480203e-01,1.790512633809319498e-04
4.742099465684077586e-01,3.009175304945529206e+00,3.105818544630140066e-01,3.932836597916838173e+01,0.000000000000000000e+00,4.368845954222706496e-01,-5.316273751483095111e+00,4.013141078736319756e+00,-3.119744271066849706e+02,2.355602593940950840e-01,2.376241679518411587e-01,2.030821376294435487e-01,3.878168961831477413e-01,2.972073104175299463e+00,1.898301225008481030e-01,-4.401926024493550749e+00,4.395617842674255371e-01,2.825273752212524414e+00,-1.402034966755663914e-01,-8.920069292642031356e-02,-2.232183526839700075e-02,9.091152982830495999e-01,9.639265731386924979e-05
5.227173412713455036e-01,2.765786141788339592e+00,3.653298441151989762e-01,4.177486223852075398e+01,0.000000000000000000e+00,3.485108152553948457e-01,-5.234937650649953866e+00,3.730051842999383194e+00,-3.149827126885224402e+02,2.406212531913602959e-01,2.454409821242533596e-01,2.040825422483078522e-01,4.313080423391157936e-01,2.573625356237043693e+00,1.258663233404398174e-01,-3.491650739554173821e+00,5.864764451980590820e-01,2.842110157012939453e+00,-1.402630568837397729e-01,-8.865719541774973178e-02,-2.257677810631952831e-02,9.090470722614384380e-01,2.112154468421666511e-05
5.662383489581088725e-01,2.458981529584889358e+00,4.201100934508499307e-01,6.464433813644184568e+01,0.000000000000000000e+00,2.648524485462075972e-01,-4.899116734952258412e+00,3.446190704071808941e+00,-2.468465210861425305e+02,2.442703417704896740e-01,2.497242573168492186e-01,2.050829468671720723e-01,4.722173511187001127e-01,2.328023114450674669e+00,6.974818894917524104e-02,-3.181286279011475759e+00,2.282423228025436401e-01,2.858907699584960938e+00,-1.403348569540154855e-01,-8.809835040732766354e-02,-2.283194591702726248e-02,9.089796879266860419e-01,-4.647842537936049747e-05
6.069309638365893989e-01,2.067285251357134257e+00,4.749524130079457729e-01,4.499593845356012878e+01,0.000000000000000000e+00,1.827504786365352629e-01,-4.294882776994199958e+00,3.161539344230482218e+00,-3.222259411431684271e+02,2.483829390233781576e-01,2.453321884214858528e-01,2.060833514860363203e-01,5.134059994663695559e-01,2.161680566413833660e+00,1.270327839967796621e-02,-2.881647325252043146e+00,-2.425012141466140747e-01,2.877011060714721680e+00,-1.404170722779875258e-01,-8.752541901879734576e-02,-2.308645726877012888e-02,9.089121064748032497e-01,-1.118458324840503201e-04
6.425932085311387709e-01,1.586454079547365836e+00,5.298744396982615346e-01,4.612914002882257591e+01,0.000000000000000000e+00,1.074480305501310795e-01,-3.410357537584786769e+00,2.876072109479942185e+00,-3.267001673322479292e+02,2.528109779202404317e-01,2.440303945717587908e-01,2.070837561049005682e-01,5.510978023504763401e-01,1.685480165975033362e+00,-4.039482838960060246e-02,-2.759898086410412787e+00,-2.352869659662246704e-01,2.896502971649169922e+00,-1.405107247796381076e-01,-8.693783259808035568e-02,-2.334077818362849041e-02,9.088449284224160429e-01,-1.699562582912544299e-04
6.659471166767048089e-01,1.128687065884150798e+00,5.848872752922340545e-01,4.706713795306036729e+01,0.000000000000000000e+00,5.612250055196454923e-02,-2.485157966140832286e+00,2.589751928160790140e+00,-3.319887137836700504e+02,2.566627303044963782e-01,2.457880994912713390e-01,2.080841607237648438e-01,5.764421830469739216e-01,1.403459579111237199e+00,-8.435296241661234540e-02,-2.407270507724918129e+00,1.078414767980575562e-01,2.913458108901977539e+00,-1.406166902688423259e-01,-8.633510297452126614e-02,-2.359532735453908833e-02,9.087786988886789041e-01,-2.173630670301472060e-04
6.814832807701236561e-01,6.406993981181585696e-01,6.399982566918874793e-01,4.786146252411167268e+01,0.000000000000000000e+00,2.077201002407491615e-02,-1.444765613814524841e+00,2.302523163726327926e+00,-3.383881499845458620e+02,2.657393454347243278e-01,2.579012181467419396e-01,2.090845653426290918e-01,5.896598728146584811e-01,1.622927825807684687e+00,-1.117089511833488508e-01,-1.521593031657299644e+00,7.205201983451843262e-01,2.930483818054199219e+00,-1.407331391138406107e-01,-8.571849269724997333e-02,-2.384925692991377369e-02,9.087124039512668450e-01,-2.612065826002684223e-04
6.884109424834718993e-01,1.336344715018640272e-01,6.952124271431228131e-01,4.854694643646759289e+01,0.000000000000000000e+00,4.316093372608520440e-03,-3.326277244996163063e-01,2.014298330349188593e+00,-3.463595058030779228e+02,2.536654384063012913e-01,2.446768232471185911e-01,2.100849699614933119e-01,5.927748785675537313e-01,-2.551835130849033906e-02,-1.092961311368519373e-01,9.556539270505378658e-01,1.164641022682189941e+00,2.947542905807495117e+00,-1.408606856073179869e-01,-8.508773434321888207e-02,-2.410282946749612784e-02,9.086464003558943903e-01,-2.986232571206839329e-04
6.862885082823595440e-01,-3.652060670351602312e-01,7.505333675645958769e-01,4.914798998369748517e+01,0.000000000000000000e+00,8.316890492551465286e-03,7.362927730391675141e-01,1.724931496344214388e+00,-3.566611727849766567e+02,2.191701994246386676e-01,2.087116482509259185e-01,2.110853745803575876e-01,5.841126281591211278e-01,-6.764066479550310262e-01,-7.449394201169644292e-02,2.776212361576885890e+00,1.365532159805297852e+00,2.964582681655883789e+00,-1.410005970858636826e-01,-8.444213835183417283e-02,-2.435662411759338328e-02,9.085814390545661201e-01,-3.238070382011712421e-04
6.757397482188025606e-01,-8.238229170096929010e-01,8.059636907399283512e-01,4.968219901324097521e+01,0.000000000000000000e+00,2.952625792795515736e-02,1.605922714661573991e+00,1.434159691582265417e+00,-3.706363513231639786e+02,1.613412694172779993e-01,1.490661451231289902e-01,2.120857791992218355e-01,5.761640822257048100e-01,-5.225165210267501692e-01,-2.387257601147028951e-02,2.922563154360557913e+00,8.435745537281036377e-02,2.981849908828735352e+00,-1.411510583208642478e-01,-8.378295788178453940e-02,-2.460983440397424352e-02,9.085165414849084575e-01,-3.435836591313842997e-04
6.578860469453502446e-01,-1.228378239442918129e+00,8.615053477842182783e-01,6.066490344046035688e+01,0.000000000000000000e+00,6.341466631101866369e-02,2.242860300502798054e+00,1.141456150038882900e+00,-1.680129235032796089e+02,9.809696873534790029e-02,8.618974555804470583e-02,2.130861838180860834e-01,5.616797137677497220e-01,-8.456862007822276706e-01,2.551840858986054172e-02,2.423583846623820648e+00,-8.873773813247680664e-01,2.999011754989624023e+00,-1.413123047442413072e-01,-8.311019675717488953e-02,-2.486254752078088937e-02,9.084518484226351553e-01,-3.579934628651125841e-04
