meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,state_machine_flag
2.496092081069946289e+00,-5.071840930564504024e-01,-4.509473323660251332e-01,2.316871853716757634e+00,1.787432230931828236e+00,1.569294040103761390e+00,1.494800330719476378e+00,-2.988182627550308723e+00,-3.648709250037267537e+00,nan,1.472015380859375000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.690645321223767983e+00,1.787432230931828236e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.499526977539062500e+00,-4.991481867507955306e-01,-4.436253333202730964e-01,2.373300011320345959e+00,1.896625430892548536e+00,1.559007574630273840e+00,1.483119737387307957e+00,-3.029120076831975261e+00,-3.434860493783915114e+00,nan,1.411765813827514648e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.697967320269520020e+00,1.896625430892548536e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.503063917160034180e+00,-4.907996460101826663e-01,-4.375523246472825534e-01,2.429117046939487601e+00,1.948857743036163770e+00,1.548475577305288065e+00,1.471215376105734718e+00,-3.071129347280137090e+00,-3.436121458948175889e+00,nan,1.205510497093200684e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.704040328942510563e+00,1.948857743036163770e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.506527900695800781e+00,-4.821471037204972943e-01,-4.295071632845743892e-01,2.484179777041647164e+00,1.970696196607031547e+00,1.537713648741750649e+00,1.459343035175080461e+00,-3.114151137598371477e+00,-3.432336316413224342e+00,nan,1.417859315872192383e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.712085490305218727e+00,1.970696196607031547e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.510022401809692383e+00,-4.733242154113762035e-01,-4.234842933285407618e-01,2.537624866790277878e+00,2.087878879837989476e+00,1.526888732528310255e+00,1.448253601187071471e+00,-3.157518519343808450e+00,-3.186945454716001880e+00,nan,1.213201761245727539e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.718108360261252354e+00,2.087878879837989476e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.513496160507202148e+00,-4.642653254560433762e-01,-4.143523549817667018e-01,2.589869286134815596e+00,2.158791669131856494e+00,1.515919213654356223e+00,1.437148250650360115e+00,-3.201557785361757169e+00,-3.118815885143106481e+00,nan,1.304613471031188965e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.727240298608026414e+00,2.158791669131856494e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.517027139663696289e+00,-4.549746690591959797e-01,-4.076564665010868893e-01,2.640880156198042172e+00,2.170017825232922082e+00,1.504810686449246981e+00,1.426346438060079658e+00,-3.246246777575858111e+00,-3.050056394748623223e+00,nan,1.296481847763061523e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.733936187088706227e+00,2.170017825232922082e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.520501136779785156e+00,-4.464272253405786595e-01,-3.988425300798046358e-01,2.685625293204212838e+00,2.241384017702374720e+00,1.492760957052079895e+00,1.416247762415418165e+00,-3.298615435181564415e+00,-2.889196825181875372e+00,nan,1.239144086837768555e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.742750123509988480e+00,2.241384017702374720e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.524019956588745117e+00,-4.367759612142672609e-01,-3.919881662535917854e-01,2.734260015316818837e+00,2.297828918058277381e+00,1.481456155434029975e+00,1.406133076595297293e+00,-3.339597603929388647e+00,-2.888567091613801985e+00,nan,8.786725401878356934e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.749604487336201331e+00,2.297828918058277381e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.527509927749633789e+00,-4.267748547231363654e-01,-3.818091547608548630e-01,2.782253520635480371e+00,2.323563576303930844e+00,1.469671976380288569e+00,1.396369959247985904e+00,-3.382603800386379866e+00,-2.729600280568043935e+00,nan,9.117532968521118164e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.759783498828938253e+00,2.323563576303930844e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
